category_id,cat_level1,cat_level2,cat_level3
1,Personal Care,Makeup,Compact
2,Free Items,Free Gifts,Ties
3,Footwear,Shoes,Casual Shoes
4,Personal Care,Bath and Body,Body Wash and Scrub
5,Personal Care,Skin Care,Face Wash and Cleanser
6,Apparel,Topwear,Dupatta
7,Apparel,Loungewear and Nightwear,Nightdress
8,Accessories,Jewellery,Bangle
9,Accessories,Belts,Belts
10,Apparel,Topwear,Suspenders
11,Personal Care,Eyes,Kajal and Eyeliner
12,Apparel,Bottomwear,Track Pants
13,Apparel,Innerwear,Innerwear Vests
14,Personal Care,Skin Care,Sunscreen
15,Apparel,Innerwear,Shapewear
16,Apparel,Topwear,Sweatshirts
17,Accessories,Perfumes,Perfume and Body Mist
18,Apparel,Bottomwear,Jeans
19,Apparel,Loungewear and Nightwear,Lounge Shorts
20,Apparel,Saree,Sarees
21,Apparel,Innerwear,Briefs
22,Footwear,Sandal,Flip Flops
23,Footwear,Shoes,Formal Shoes
24,Free Items,Vouchers,Ipad
25,Accessories,Bags,Tablet Sleeve
26,Footwear,Shoes,Sports Shoes
27,Personal Care,Skin,Face Serum and Gel
28,Apparel,Topwear,Belts
29,Accessories,Sports Accessories,Wristbands
30,Personal Care,Fragrance,Fragrance Gift Set
31,Apparel,Apparel Set,Clothing Set
32,Personal Care,Lips,Lip Care
33,Accessories,Bags,Messenger Bag
34,Personal Care,Beauty Accessories,Beauty Accessory
35,Apparel,Topwear,Rain Jacket
36,Apparel,Bottomwear,Tights
37,Accessories,Bags,Duffel Bag
38,Personal Care,Fragrance,Perfume and Body Mist
39,Apparel,Innerwear,Camisoles
40,Apparel,Topwear,Tshirts
41,Apparel,Bottomwear,Jeggings
42,Personal Care,Skin,Face Moisturisers
43,Personal Care,Makeup,Makeup Remover
44,Accessories,Shoe Accessories,Shoe Laces
45,Apparel,Topwear,Shrug
46,Free Items,Free Gifts,Laptop Bag
47,Apparel,Bottomwear,Shorts
48,Free Items,Free Gifts,Handbags
49,Apparel,Topwear,Tops
50,Accessories,Bags,Clutches
